Latitude modul,Longitude modul,Sat count,Speed,Alt,Dates
-5.372161, 105.250097, 8, 0.30, 131.80, 14/9/2021
-5.372161, 105.250097, 8, 0.26, 131.80, 14/9/2021
-5.372161, 105.250097, 8, 0.26, 131.80, 14/9/2021
-5.372162, 105.250098, 8, 0.28, 131.80, 14/9/2021
-5.372162, 105.250098, 8, 0.28, 131.80, 14/9/2021
-5.372162, 105.250098, 8, 0.28, 131.80, 14/9/2021
-5.372162, 105.250098, 8, 0.28, 131.80, 14/9/2021
-5.372161, 105.250097, 8, 0.15, 131.80, 14/9/2021
-5.372161, 105.250097, 8, 0.15, 131.80, 14/9/2021
-5.372161, 105.250097, 8, 0.15, 131.20, 14/9/2021
-5.372161, 105.250097, 8, 0.15, 131.20, 14/9/2021
-5.372161, 105.250097, 8, 0.15, 131.20, 14/9/2021
-5.372161, 105.250097, 8, 0.19, 131.20, 14/9/2021
-5.372161, 105.250097, 8, 0.19, 131.20, 14/9/2021
-5.372161, 105.250097, 8, 0.19, 131.00, 14/9/2021
-5.372161, 105.250097, 8, 0.19, 131.00, 14/9/2021
-5.372161, 105.250097, 8, 0.31, 131.00, 14/9/2021
-5.372161, 105.250097, 8, 0.31, 131.00, 14/9/2021
-5.372161, 105.250097, 8, 0.31, 131.00, 14/9/2021
-5.372161, 105.250097, 8, 0.31, 131.00, 14/9/2021
-5.372163, 105.250099, 8, 0.39, 131.00, 14/9/2021
-5.372163, 105.250099, 8, 0.39, 131.00, 14/9/2021
-5.372163, 105.250099, 8, 0.39, 131.00, 14/9/2021
-5.372163, 105.250099, 8, 0.39, 131.00, 14/9/2021
-5.372162, 105.250099, 8, 0.30, 131.00, 14/9/2021
-5.372162, 105.250099, 8, 0.30, 131.00, 14/9/2021
-5.372162, 105.250099, 9, 0.30, 130.40, 14/9/2021
-5.372162, 105.250099, 9, 0.30, 130.40, 14/9/2021
-5.372162, 105.250100, 9, 0.11, 130.40, 14/9/2021
-5.372162, 105.250100, 9, 0.11, 130.40, 14/9/2021
-5.372162, 105.250100, 9, 0.11, 130.40, 14/9/2021
-5.372162, 105.250100, 9, 0.11, 130.40, 14/9/2021
-5.372164, 105.250102, 9, 0.39, 130.40, 14/9/2021
-5.372164, 105.250102, 9, 0.39, 130.40, 14/9/2021
-5.372164, 105.250102, 9, 0.39, 129.00, 14/9/2021
-5.372164, 105.250102, 9, 0.39, 129.00, 14/9/2021
-5.372164, 105.250104, 9, 0.57, 129.00, 14/9/2021
-5.372164, 105.250104, 9, 0.57, 129.00, 14/9/2021
-5.372164, 105.250104, 9, 0.57, 129.00, 14/9/2021
-5.372164, 105.250104, 9, 0.57, 129.00, 14/9/2021
-5.372164, 105.250105, 9, 0.56, 129.00, 14/9/2021
-5.372164, 105.250105, 9, 0.56, 129.00, 14/9/2021
-5.372164, 105.250105, 9, 0.56, 128.20, 14/9/2021
-5.372164, 105.250105, 9, 0.56, 128.20, 14/9/2021
-5.372163, 105.250105, 9, 0.04, 128.20, 14/9/2021
-5.372163, 105.250105, 9, 0.04, 128.20, 14/9/2021
-5.372163, 105.250105, 9, 0.04, 128.20, 14/9/2021
-5.372163, 105.250105, 9, 0.04, 128.20, 14/9/2021
-5.372163, 105.250105, 9, 0.04, 128.20, 14/9/2021
-5.372162, 105.250105, 9, 0.15, 128.20, 14/9/2021
-5.372162, 105.250105, 9, 0.15, 128.20, 14/9/2021
-5.372162, 105.250105, 9, 0.15, 128.20, 14/9/2021
-5.372162, 105.250105, 9, 0.15, 128.20, 14/9/2021
-5.372162, 105.250105, 9, 0.15, 128.20, 14/9/2021
-5.372162, 105.250106, 9, 0.26, 128.20, 14/9/2021
-5.372162, 105.250106, 9, 0.26, 128.20, 14/9/2021
-5.372163, 105.250107, 9, 0.48, 128.20, 14/9/2021
-5.372163, 105.250107, 9, 0.48, 128.20, 14/9/2021
-5.372163, 105.250107, 9, 0.48, 128.20, 14/9/2021
-5.372163, 105.250107, 9, 0.48, 128.20, 14/9/2021
-5.372162, 105.250107, 9, 0.31, 128.20, 14/9/2021
-5.372162, 105.250107, 9, 0.31, 128.20, 14/9/2021
-5.372162, 105.250107, 9, 0.31, 127.10, 14/9/2021
-5.372162, 105.250107, 9, 0.31, 127.10, 14/9/2021
-5.372162, 105.250107, 9, 0.31, 127.10, 14/9/2021
-5.372160, 105.250107, 9, 0.11, 127.10, 14/9/2021
-5.372160, 105.250107, 9, 0.11, 127.10, 14/9/2021
-5.372160, 105.250107, 9, 0.11, 127.40, 14/9/2021
