Latitude referensi,Longitude referensi,Latitude modul,Longitude modul
-5.3721512,105.250096,-5.372164,105.250105
-5.3721512,105.250096,-5.372164,105.250105
-5.3721512,105.250096,-5.372164,105.250105
-5.3721512,105.250096,-5.372164,105.250105
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372162,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250091
-5.3721512,105.250096,-5.372161,105.250091
-5.3721512,105.250096,-5.372161,105.250091
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.372161,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.372159,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.37216,105.250092
-5.3721512,105.250096,-5.372159,105.250091
-5.3721512,105.250096,-5.372159,105.250091
-5.3721512,105.250096,-5.372159,105.250091
-5.3721512,105.250096,-5.372159,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250091
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372158,105.250092
-5.3721512,105.250096,-5.372159,105.250093
-5.3721512,105.250096,-5.372159,105.250093
